Installment,Region,Channel,Platform,ReleaseYear,ReleaseMonth,RelativeWeek,Version,GameType,ReserveType,FinalPrice,ReservesLevel
RPG 3,CAN,Retail,XBOX,2009,10,48,1,NonCasual,Pre-Order,22.06234054,335.5
RPG 3,CAN,Retail,XBOX,2009,10,49,1,NonCasual,Pre-Order,22.06234054,326.7
RPG 3,CAN,Retail,XBOX,2009,11,2,1,NonCasual,Pre-Order,22.06234054,1060.4
RPG 3,CAN,Retail,XBOX,2009,11,7,1,NonCasual,Pre-Order,22.06234054,900.9
RPG 3,CAN,Retail,XBOX,2009,11,8,1,NonCasual,Pre-Order,22.06234054,188.1
RPG 3,CAN,Retail,XBOX,2009,11,9,1,NonCasual,Pre-Order,22.06234054,776.6
RPG 3,CAN,Retail,XBOX,2009,11,11,1,NonCasual,Pre-Order,22.06234054,160.6
RPG 3,CAN,Retail,XBOX,2009,11,12,1,NonCasual,Pre-Order,22.06234054,564.3
RPG 3,CAN,Retail,XBOX,2009,11,14,1,NonCasual,Pre-Order,22.06234054,495
RPG 3,CAN,Retail,XBOX,2009,11,15,1,NonCasual,Pre-Order,22.06234054,24.2
RPG 3,CAN,Retail,XBOX,2009,11,16,1,NonCasual,Pre-Order,22.06234054,514.8
RPG 3,CAN,Retail,XBOX,2009,11,17,1,NonCasual,Pre-Order,22.06234054,536.8
RPG 3,CAN,Retail,XBOX,2009,11,19,1,NonCasual,Pre-Order,22.06234054,489.5
RPG 3,CAN,Retail,XBOX,2009,11,21,1,NonCasual,Pre-Order,22.06234054,470.8
RPG 3,CAN,Retail,XBOX,2009,11,22,1,NonCasual,Pre-Order,22.06234054,16.5
RPG 3,CAN,Retail,XBOX,2009,11,23,1,NonCasual,Pre-Order,22.06234054,88
RPG 3,CAN,Retail,XBOX,2009,11,25,1,NonCasual,Pre-Order,22.06234054,9.9
RPG 3,CAN,Retail,XBOX,2009,11,26,1,NonCasual,Pre-Order,22.06234054,20.9
RPG 3,CAN,Retail,XBOX,2009,11,28,1,NonCasual,Pre-Order,22.06234054,18.7
RPG 3,CAN,Retail,XBOX,2009,11,29,1,NonCasual,Pre-Order,22.06234054,24.2
RPG 3,CAN,Retail,XBOX,2009,11,31,1,NonCasual,Pre-Order,22.06234054,178.2
RPG 3,CAN,Retail,XBOX,2009,11,32,1,NonCasual,Pre-Order,22.06234054,4.4
RPG 3,CAN,Retail,XBOX,2009,11,33,1,NonCasual,Pre-Order,22.06234054,129.8
RPG 3,CAN,Retail,XBOX,2009,11,34,1,NonCasual,Pre-Order,22.06234054,3.3
RPG 3,CAN,Retail,XBOX,2009,11,35,1,NonCasual,Pre-Order,22.06234054,5.5
RPG 3,CAN,Retail,XBOX,2009,11,36,1,NonCasual,Pre-Order,22.06234054,37.4
RPG 3,MEX,Digital,Nintendo,2009,11,1,1,NonCasual,Pre-Purchase,48.96785736,33
RPG 3,MEX,Digital,PC,2009,10,2,1,NonCasual,Pre-Purchase,48.96785736,46.2
RPG 3,MEX,Digital,PC,2009,10,3,1,NonCasual,Pre-Purchase,48.96785736,12.1
RPG 3,MEX,Digital,PC,2009,11,1,1,NonCasual,Pre-Purchase,48.96785736,46.2
RPG 3,MEX,Digital,PC,2009,11,2,1,NonCasual,Pre-Purchase,48.96785736,20.9
RPG 3,MEX,Digital,PS,2009,10,0,1,NonCasual,Pre-Purchase,39.19048992,97.9
RPG 3,MEX,Digital,PS,2009,10,1,1,NonCasual,Pre-Purchase,39.19048992,97.9
RPG 3,MEX,Digital,PS,2009,10,2,1,NonCasual,Pre-Purchase,39.19048992,15.4
RPG 3,MEX,Digital,PS,2009,11,0,1,NonCasual,Pre-Purchase,39.19048992,33
RPG 3,MEX,Digital,XBOX,2009,10,3,1,NonCasual,Pre-Purchase,22.06234054,24.2
RPG 3,MEX,Digital,XBOX,2009,10,4,1,NonCasual,Pre-Purchase,22.06234054,20.9
RPG 3,MEX,Digital,XBOX,2009,11,0,1,NonCasual,Pre-Purchase,22.06234054,46.2
RPG 3,MEX,Digital,XBOX,2009,11,2,1,NonCasual,Pre-Purchase,22.06234054,8.8
RPG 3,MEX,Retail,Nintendo,2009,10,0,1,NonCasual,Pre-Order,48.96785736,1595
RPG 3,MEX,Retail,Nintendo,2009,10,1,1,NonCasual,Pre-Order,48.96785736,2576.2
RPG 3,MEX,Retail,PC,2009,10,0,1,NonCasual,Pre-Order,48.96785736,3498
RPG 3,MEX,Retail,PC,2009,10,1,1,NonCasual,Pre-Order,48.96785736,5978.5
RPG 3,MEX,Retail,PS,2009,10,0,1,NonCasual,Pre-Order,39.19048992,14379.2
RPG 3,MEX,Retail,PS,2009,10,1,1,NonCasual,Pre-Order,39.19048992,8078.4
RPG 3,MEX,Retail,XBOX,2009,10,0,1,NonCasual,Pre-Order,22.06234054,658.9
RPG 3,MEX,Retail,XBOX,2009,10,1,1,NonCasual,Pre-Order,22.06234054,3498
RPG 3,ROSA,Digital,Nintendo,2009,11,1,1,NonCasual,Pre-Purchase,48.96785736,207.9
RPG 3,ROSA,Digital,Nintendo,2009,11,2,1,NonCasual,Pre-Purchase,48.96785736,89.1
RPG 3,ROSA,Digital,PC,2009,11,1,1,NonCasual,Pre-Purchase,48.96785736,211.2
RPG 3,ROSA,Digital,PC,2009,11,2,1,NonCasual,Pre-Purchase,48.96785736,97.9
RPG 3,ROSA,Digital,PS,2009,11,0,1,NonCasual,Pre-Purchase,39.19048992,419.1
RPG 3,USA,Digital,Nintendo,2009,10,0,1,NonCasual,Pre-Purchase,48.96785736,821
RPG 3,USA,Digital,Nintendo,2009,11,2,1,NonCasual,Pre-Purchase,48.96785736,2186
RPG 3,USA,Digital,PC,2009,10,2,1,NonCasual,Pre-Purchase,48.96785736,2251
RPG 3,USA,Digital,PC,2009,10,3,1,NonCasual,Pre-Purchase,48.96785736,297
RPG 3,USA,Digital,PC,2009,11,1,1,NonCasual,Pre-Purchase,48.96785736,5575
RPG 3,USA,Digital,PC,2009,11,2,1,NonCasual,Pre-Purchase,48.96785736,2581
RPG 3,USA,Digital,PS,2009,10,0,1,NonCasual,Pre-Purchase,39.19048992,3827
RPG 3,USA,Digital,PS,2009,10,1,1,NonCasual,Pre-Purchase,39.19048992,3827
RPG 3,USA,Digital,PS,2009,10,2,1,NonCasual,Pre-Purchase,39.19048992,474
RPG 3,USA,Digital,PS,2009,11,0,1,NonCasual,Pre-Purchase,39.19048992,10871
RPG 3,USA,Digital,XBOX,2009,10,1,1,NonCasual,Pre-Purchase,22.06234054,821
RPG 3,USA,Digital,XBOX,2009,10,3,1,NonCasual,Pre-Purchase,22.06234054,1392
RPG 3,USA,Digital,XBOX,2009,10,4,1,NonCasual,Pre-Purchase,22.06234054,822
RPG 3,USA,Digital,XBOX,2009,11,1,1,NonCasual,Pre-Purchase,22.06234054,5297
RPG 3,USA,Retail,Nintendo,2009,10,3,1,NonCasual,Pre-Order,48.96785736,701028
RPG 3,USA,Retail,Nintendo,2009,10,4,1,NonCasual,Pre-Order,48.96785736,44558
RPG 3,USA,Retail,Nintendo,2009,10,6,1,NonCasual,Pre-Order,48.96785736,44433
RPG 3,USA,Retail,Nintendo,2009,10,12,1,NonCasual,Pre-Order,48.96785736,2648
RPG 3,USA,Retail,Nintendo,2009,10,13,1,NonCasual,Pre-Order,48.96785736,1783
RPG 3,USA,Retail,Nintendo,2009,10,15,1,NonCasual,Pre-Order,48.96785736,20279
RPG 3,USA,Retail,Nintendo,2009,10,19,1,NonCasual,Pre-Order,48.96785736,478526
RPG 3,USA,Retail,Nintendo,2009,10,34,1,NonCasual,Pre-Order,48.96785736,153530
RPG 3,USA,Retail,Nintendo,2009,11,3,1,NonCasual,Pre-Order,48.96785736,8513
RPG 3,USA,Retail,Nintendo,2009,11,4,1,NonCasual,Pre-Order,48.96785736,293
RPG 3,USA,Retail,Nintendo,2009,11,10,1,NonCasual,Pre-Order,48.96785736,573
RPG 3,USA,Retail,Nintendo,2009,11,12,1,NonCasual,Pre-Order,48.96785736,487
RPG 3,USA,Retail,Nintendo,2009,11,14,1,NonCasual,Pre-Order,48.96785736,1075
RPG 3,USA,Retail,Nintendo,2009,11,20,1,NonCasual,Pre-Order,48.96785736,5744
RPG 3,USA,Retail,Nintendo,2009,11,21,1,NonCasual,Pre-Order,48.96785736,377
RPG 3,USA,Retail,Nintendo,2009,11,40,1,NonCasual,Pre-Order,48.96785736,2
RPG 3,USA,Retail,PC,2009,10,1,1,NonCasual,Pre-Order,48.96785736,50174
RPG 3,USA,Retail,PC,2009,10,3,1,NonCasual,Pre-Order,48.96785736,412743
RPG 3,USA,Retail,PC,2009,10,7,1,NonCasual,Pre-Order,48.96785736,6206
RPG 3,USA,Retail,PC,2009,10,9,1,NonCasual,Pre-Order,48.96785736,3013
RPG 3,USA,Retail,PC,2009,10,10,1,NonCasual,Pre-Order,48.96785736,320362
RPG 3,USA,Retail,PC,2009,10,11,1,NonCasual,Pre-Order,48.96785736,30009
RPG 3,USA,Retail,PC,2009,10,12,1,NonCasual,Pre-Order,48.96785736,546003
RPG 3,USA,Retail,PC,2009,10,13,1,NonCasual,Pre-Order,48.96785736,299266
RPG 3,USA,Retail,PC,2009,10,14,1,NonCasual,Pre-Order,48.96785736,2048
RPG 3,USA,Retail,PC,2009,10,17,1,NonCasual,Pre-Order,48.96785736,277585
RPG 3,USA,Retail,PC,2009,10,18,1,NonCasual,Pre-Order,48.96785736,273482
RPG 3,USA,Retail,PC,2009,10,24,1,NonCasual,Pre-Order,48.96785736,6174
RPG 3,USA,Retail,PC,2009,10,25,1,NonCasual,Pre-Order,48.96785736,398833
RPG 3,USA,Retail,PC,2009,10,27,1,NonCasual,Pre-Order,48.96785736,6779
RPG 3,USA,Retail,PC,2009,10,31,1,NonCasual,Pre-Order,48.96785736,465662
RPG 3,USA,Retail,PC,2009,10,33,1,NonCasual,Pre-Order,48.96785736,3951
RPG 3,USA,Retail,PC,2009,11,2,1,NonCasual,Pre-Order,48.96785736,395
RPG 3,USA,Retail,PC,2009,11,4,1,NonCasual,Pre-Order,48.96785736,3836
RPG 3,USA,Retail,PC,2009,11,6,1,NonCasual,Pre-Order,48.96785736,7281
RPG 3,USA,Retail,PC,2009,11,7,1,NonCasual,Pre-Order,48.96785736,7637
RPG 3,USA,Retail,PC,2009,11,9,1,NonCasual,Pre-Order,48.96785736,2055
RPG 3,USA,Retail,PC,2009,11,12,1,NonCasual,Pre-Order,48.96785736,5976
RPG 3,USA,Retail,PC,2009,11,16,1,NonCasual,Pre-Order,48.96785736,591
RPG 3,USA,Retail,PC,2009,11,22,1,NonCasual,Pre-Order,48.96785736,5108
RPG 3,USA,Retail,PC,2009,11,23,1,NonCasual,Pre-Order,48.96785736,19
RPG 3,USA,Retail,PC,2009,11,32,1,NonCasual,Pre-Order,48.96785736,184
RPG 3,USA,Retail,PC,2009,11,37,1,NonCasual,Pre-Order,48.96785736,1870
RPG 3,USA,Retail,PS,2009,10,0,1,NonCasual,Pre-Order,39.19048992,1368060
RPG 3,USA,Retail,PS,2009,10,1,1,NonCasual,Pre-Order,39.19048992,845133
RPG 3,USA,Retail,PS,2009,10,2,1,NonCasual,Pre-Order,39.19048992,95165
RPG 3,USA,Retail,PS,2009,10,3,1,NonCasual,Pre-Order,39.19048992,41198
RPG 3,USA,Retail,PS,2009,10,4,1,NonCasual,Pre-Order,39.19048992,1096443
RPG 3,USA,Retail,PS,2009,10,5,1,NonCasual,Pre-Order,39.19048992,1041168
RPG 3,USA,Retail,PS,2009,10,6,1,NonCasual,Pre-Order,39.19048992,39840
RPG 3,USA,Retail,PS,2009,10,7,1,NonCasual,Pre-Order,39.19048992,971355
RPG 3,USA,Retail,PS,2009,10,8,1,NonCasual,Pre-Order,39.19048992,998515
RPG 3,USA,Retail,PS,2009,10,9,1,NonCasual,Pre-Order,39.19048992,963124
RPG 3,USA,Retail,PS,2009,10,10,1,NonCasual,Pre-Order,39.19048992,595683
RPG 3,USA,Retail,PS,2009,10,11,1,NonCasual,Pre-Order,39.19048992,22516
RPG 3,USA,Retail,PS,2009,10,12,1,NonCasual,Pre-Order,39.19048992,18343
RPG 3,USA,Retail,PS,2009,10,13,1,NonCasual,Pre-Order,39.19048992,45757
RPG 3,USA,Retail,PS,2009,10,14,1,NonCasual,Pre-Order,39.19048992,540308
RPG 3,USA,Retail,PS,2009,10,15,1,NonCasual,Pre-Order,39.19048992,818323
RPG 3,USA,Retail,PS,2009,10,16,1,NonCasual,Pre-Order,39.19048992,517344
RPG 3,USA,Retail,PS,2009,10,17,1,NonCasual,Pre-Order,39.19048992,13938
RPG 3,USA,Retail,PS,2009,10,19,1,NonCasual,Pre-Order,39.19048992,267105
RPG 3,USA,Retail,PS,2009,10,20,1,NonCasual,Pre-Order,39.19048992,204
RPG 3,USA,Retail,PS,2009,10,21,1,NonCasual,Pre-Order,39.19048992,263479
RPG 3,USA,Retail,PS,2009,10,22,1,NonCasual,Pre-Order,39.19048992,438958
RPG 3,USA,Retail,PS,2009,10,23,1,NonCasual,Pre-Order,39.19048992,239362
RPG 3,USA,Retail,PS,2009,10,24,1,NonCasual,Pre-Order,39.19048992,235346
RPG 3,USA,Retail,PS,2009,10,25,1,NonCasual,Pre-Order,39.19048992,6008
RPG 3,USA,Retail,PS,2009,10,26,1,NonCasual,Pre-Order,39.19048992,617744
RPG 3,USA,Retail,PS,2009,10,27,1,NonCasual,Pre-Order,39.19048992,594641
RPG 3,USA,Retail,PS,2009,10,28,1,NonCasual,Pre-Order,39.19048992,206811
RPG 3,USA,Retail,PS,2009,10,29,1,NonCasual,Pre-Order,39.19048992,548214
RPG 3,USA,Retail,PS,2009,10,30,1,NonCasual,Pre-Order,39.19048992,514278
RPG 3,USA,Retail,PS,2009,10,32,1,NonCasual,Pre-Order,39.19048992,148020
RPG 3,USA,Retail,PS,2009,10,33,1,NonCasual,Pre-Order,39.19048992,121451
RPG 3,USA,Retail,PS,2009,10,34,1,NonCasual,Pre-Order,39.19048992,77926
RPG 3,USA,Retail,PS,2009,10,35,1,NonCasual,Pre-Order,39.19048992,231
RPG 3,USA,Retail,PS,2009,11,0,1,NonCasual,Pre-Order,39.19048992,15736
RPG 3,USA,Retail,PS,2009,11,1,1,NonCasual,Pre-Order,39.19048992,4729
RPG 3,USA,Retail,PS,2009,11,2,1,NonCasual,Pre-Order,39.19048992,14760
RPG 3,USA,Retail,PS,2009,11,5,1,NonCasual,Pre-Order,39.19048992,12476
RPG 3,USA,Retail,PS,2009,11,6,1,NonCasual,Pre-Order,39.19048992,3509
RPG 3,USA,Retail,PS,2009,11,7,1,NonCasual,Pre-Order,39.19048992,3155
RPG 3,USA,Retail,PS,2009,11,8,1,NonCasual,Pre-Order,39.19048992,9678
RPG 3,USA,Retail,PS,2009,11,9,1,NonCasual,Pre-Order,39.19048992,6343
RPG 3,USA,Retail,PS,2009,11,10,1,NonCasual,Pre-Order,39.19048992,873
RPG 3,USA,Retail,PS,2009,11,11,1,NonCasual,Pre-Order,39.19048992,68
RPG 3,USA,Retail,PS,2009,11,12,1,NonCasual,Pre-Order,39.19048992,714
RPG 3,USA,Retail,PS,2009,11,13,1,NonCasual,Pre-Order,39.19048992,5776
RPG 3,USA,Retail,PS,2009,11,15,1,NonCasual,Pre-Order,39.19048992,53
RPG 3,USA,Retail,PS,2009,11,17,1,NonCasual,Pre-Order,39.19048992,6300
RPG 3,USA,Retail,PS,2009,11,18,1,NonCasual,Pre-Order,39.19048992,6124
RPG 3,USA,Retail,PS,2009,11,19,1,NonCasual,Pre-Order,39.19048992,516
RPG 3,USA,Retail,PS,2009,11,20,1,NonCasual,Pre-Order,39.19048992,46
RPG 3,USA,Retail,PS,2009,11,21,1,NonCasual,Pre-Order,39.19048992,4924
RPG 3,USA,Retail,PS,2009,11,23,1,NonCasual,Pre-Order,39.19048992,5081
RPG 3,USA,Retail,PS,2009,11,24,1,NonCasual,Pre-Order,39.19048992,4723
RPG 3,USA,Retail,PS,2009,11,25,1,NonCasual,Pre-Order,39.19048992,4244
RPG 3,USA,Retail,PS,2009,11,26,1,NonCasual,Pre-Order,39.19048992,4362
RPG 3,USA,Retail,PS,2009,11,27,1,NonCasual,Pre-Order,39.19048992,4261
RPG 3,USA,Retail,PS,2009,11,28,1,NonCasual,Pre-Order,39.19048992,3852
RPG 3,USA,Retail,PS,2009,11,29,1,NonCasual,Pre-Order,39.19048992,4014
RPG 3,USA,Retail,PS,2009,11,30,1,NonCasual,Pre-Order,39.19048992,3890
RPG 3,USA,Retail,PS,2009,11,31,1,NonCasual,Pre-Order,39.19048992,197
RPG 3,USA,Retail,PS,2009,11,32,1,NonCasual,Pre-Order,39.19048992,3414
RPG 3,USA,Retail,PS,2009,11,33,1,NonCasual,Pre-Order,39.19048992,3241
RPG 3,USA,Retail,PS,2009,11,34,1,NonCasual,Pre-Order,39.19048992,160
RPG 3,USA,Retail,PS,2009,11,35,1,NonCasual,Pre-Order,39.19048992,2928
RPG 3,USA,Retail,PS,2009,11,36,1,NonCasual,Pre-Order,39.19048992,2575
RPG 3,USA,Retail,PS,2009,11,38,1,NonCasual,Pre-Order,39.19048992,22
RPG 3,USA,Retail,PS,2009,11,39,1,NonCasual,Pre-Order,39.19048992,4
RPG 3,USA,Retail,XBOX,2009,10,0,1,NonCasual,Pre-Order,22.06234054,50174
RPG 3,USA,Retail,XBOX,2009,10,1,1,NonCasual,Pre-Order,22.06234054,522927
RPG 3,USA,Retail,XBOX,2009,10,2,1,NonCasual,Pre-Order,22.06234054,1185462
RPG 3,USA,Retail,XBOX,2009,10,3,1,NonCasual,Pre-Order,22.06234054,48970
RPG 3,USA,Retail,XBOX,2009,10,5,1,NonCasual,Pre-Order,22.06234054,47665
RPG 3,USA,Retail,XBOX,2009,10,6,1,NonCasual,Pre-Order,22.06234054,962647
RPG 3,USA,Retail,XBOX,2009,10,7,1,NonCasual,Pre-Order,22.06234054,46595
RPG 3,USA,Retail,XBOX,2009,10,9,1,NonCasual,Pre-Order,22.06234054,7113
RPG 3,USA,Retail,XBOX,2009,10,10,1,NonCasual,Pre-Order,22.06234054,32187
RPG 3,USA,Retail,XBOX,2009,10,11,1,NonCasual,Pre-Order,22.06234054,874284
RPG 3,USA,Retail,XBOX,2009,10,12,1,NonCasual,Pre-Order,22.06234054,336371
RPG 3,USA,Retail,XBOX,2009,10,13,1,NonCasual,Pre-Order,22.06234054,536097
RPG 3,USA,Retail,XBOX,2009,10,14,1,NonCasual,Pre-Order,22.06234054,318280
RPG 3,USA,Retail,XBOX,2009,10,16,1,NonCasual,Pre-Order,22.06234054,296896
RPG 3,USA,Retail,XBOX,2009,10,17,1,NonCasual,Pre-Order,22.06234054,496086
RPG 3,USA,Retail,XBOX,2009,10,18,1,NonCasual,Pre-Order,22.06234054,490876
RPG 3,USA,Retail,XBOX,2009,10,20,1,NonCasual,Pre-Order,22.06234054,721129
RPG 3,USA,Retail,XBOX,2009,10,21,1,NonCasual,Pre-Order,22.06234054,446569
RPG 3,USA,Retail,XBOX,2009,10,22,1,NonCasual,Pre-Order,22.06234054,246974
RPG 3,USA,Retail,XBOX,2009,10,23,1,NonCasual,Pre-Order,22.06234054,429820
RPG 3,USA,Retail,XBOX,2009,10,24,1,NonCasual,Pre-Order,22.06234054,412115
RPG 3,USA,Retail,XBOX,2009,10,25,1,NonCasual,Pre-Order,22.06234054,227931
RPG 3,USA,Retail,XBOX,2009,10,28,1,NonCasual,Pre-Order,22.06234054,370248
RPG 3,USA,Retail,XBOX,2009,10,31,1,NonCasual,Pre-Order,22.06234054,4833
RPG 3,USA,Retail,XBOX,2009,10,32,1,NonCasual,Pre-Order,22.06234054,275498
RPG 3,USA,Retail,XBOX,2009,10,33,1,NonCasual,Pre-Order,22.06234054,226548
RPG 3,USA,Retail,XBOX,2009,10,35,1,NonCasual,Pre-Order,22.06234054,268
RPG 3,USA,Retail,XBOX,2009,10,36,1,NonCasual,Pre-Order,22.06234054,118
RPG 3,USA,Retail,XBOX,2009,10,37,1,NonCasual,Pre-Order,22.06234054,81
RPG 3,USA,Retail,XBOX,2009,11,1,1,NonCasual,Pre-Order,22.06234054,11007
RPG 3,USA,Retail,XBOX,2009,11,3,1,NonCasual,Pre-Order,22.06234054,5849
RPG 3,USA,Retail,XBOX,2009,11,4,1,NonCasual,Pre-Order,22.06234054,9439
RPG 3,USA,Retail,XBOX,2009,11,6,1,NonCasual,Pre-Order,22.06234054,843
RPG 3,USA,Retail,XBOX,2009,11,8,1,NonCasual,Pre-Order,22.06234054,197
RPG 3,USA,Retail,XBOX,2009,11,9,1,NonCasual,Pre-Order,22.06234054,613
RPG 3,USA,Retail,XBOX,2009,11,10,1,NonCasual,Pre-Order,22.06234054,6217
RPG 3,USA,Retail,XBOX,2009,11,11,1,NonCasual,Pre-Order,22.06234054,7365
RPG 3,USA,Retail,XBOX,2009,11,13,1,NonCasual,Pre-Order,22.06234054,1154
RPG 3,USA,Retail,XBOX,2009,11,14,1,NonCasual,Pre-Order,22.06234054,5671
RPG 3,USA,Retail,XBOX,2009,11,15,1,NonCasual,Pre-Order,22.06234054,6557
RPG 3,USA,Retail,XBOX,2009,11,16,1,NonCasual,Pre-Order,22.06234054,5854
RPG 3,USA,Retail,XBOX,2009,11,19,1,NonCasual,Pre-Order,22.06234054,5436
RPG 3,USA,Retail,XBOX,2009,11,21,1,NonCasual,Pre-Order,22.06234054,340
RPG 3,USA,Retail,XBOX,2009,11,22,1,NonCasual,Pre-Order,22.06234054,328
RPG 3,USA,Retail,XBOX,2009,11,25,1,NonCasual,Pre-Order,22.06234054,244
RPG 3,USA,Retail,XBOX,2009,11,28,1,NonCasual,Pre-Order,22.06234054,219
RPG 3,USA,Retail,XBOX,2009,11,31,1,NonCasual,Pre-Order,22.06234054,3559
RPG 3,USA,Retail,XBOX,2009,11,33,1,NonCasual,Pre-Order,22.06234054,166
RPG 3,USA,Retail,XBOX,2009,11,34,1,NonCasual,Pre-Order,22.06234054,3015
RPG 4,BRA,Digital,PC,2010,10,4,3,NonCasual,Pre-Purchase,21.83837867,17.6
RPG 4,BRA,Digital,PC,2010,10,5,3,NonCasual,Pre-Purchase,21.83837867,35.2
RPG 4,BRA,Digital,PC,2010,10,8,3,NonCasual,Pre-Purchase,21.83837867,6.6
RPG 4,BRA,Digital,PC,2010,11,1,3,NonCasual,Pre-Purchase,21.83837867,1404.7
RPG 4,BRA,Digital,PC,2010,11,3,3,NonCasual,Pre-Purchase,21.83837867,353.1
RPG 4,BRA,Digital,PC,2010,11,4,3,NonCasual,Pre-Purchase,21.83837867,515.9
RPG 4,BRA,Digital,PC,2010,11,6,3,NonCasual,Pre-Purchase,21.83837867,355.3
RPG 4,BRA,Digital,PC,2010,11,7,3,NonCasual,Pre-Purchase,21.83837867,68.2
RPG 4,BRA,Digital,PS,2010,10,0,3,NonCasual,Pre-Purchase,29.59297657,68.2
RPG 4,BRA,Digital,PS,2010,10,1,3,NonCasual,Pre-Purchase,29.59297657,20.9
RPG 4,BRA,Digital,PS,2010,10,2,3,NonCasual,Pre-Purchase,29.59297657,45.1
RPG 4,BRA,Digital,PS,2010,10,3,3,NonCasual,Pre-Purchase,29.59297657,44
RPG 4,BRA,Digital,PS,2010,10,6,3,NonCasual,Pre-Purchase,29.59297657,28.6
RPG 4,BRA,Digital,PS,2010,10,7,3,NonCasual,Pre-Purchase,29.59297657,14.3
RPG 4,BRA,Digital,PS,2010,11,0,3,NonCasual,Pre-Purchase,29.59297657,2131.8
RPG 4,BRA,Digital,PS,2010,11,2,3,NonCasual,Pre-Purchase,29.59297657,1002.1
RPG 4,BRA,Digital,PS,2010,11,3,3,NonCasual,Pre-Purchase,29.59297657,717.2
RPG 4,BRA,Digital,PS,2010,11,4,3,NonCasual,Pre-Purchase,29.59297657,229.9
RPG 4,BRA,Digital,PS,2010,11,5,3,NonCasual,Pre-Purchase,29.59297657,374
RPG 4,BRA,Digital,XBOX,2010,10,1,3,NonCasual,Pre-Purchase,35.44598386,47.3
RPG 4,BRA,Digital,XBOX,2010,10,4,3,NonCasual,Pre-Purchase,35.44598386,38.5
RPG 4,BRA,Digital,XBOX,2010,10,6,3,NonCasual,Pre-Purchase,35.44598386,16.5
RPG 4,BRA,Digital,XBOX,2010,10,7,3,NonCasual,Pre-Purchase,35.44598386,20.9
RPG 4,BRA,Digital,XBOX,2010,10,8,3,NonCasual,Pre-Purchase,35.44598386,5.5
RPG 4,BRA,Digital,XBOX,2010,11,1,3,NonCasual,Pre-Purchase,35.44598386,727.1
RPG 4,BRA,Digital,XBOX,2010,11,2,3,NonCasual,Pre-Purchase,35.44598386,474.1
RPG 4,BRA,Digital,XBOX,2010,11,5,3,NonCasual,Pre-Purchase,35.44598386,148.5
RPG 4,BRA,Digital,XBOX,2010,11,7,3,NonCasual,Pre-Purchase,35.44598386,27.5
RPG 4,CAN,Digital,PC,2010,10,1,3,NonCasual,Pre-Purchase,21.83837867,332.2
RPG 4,CAN,Digital,PC,2010,10,2,3,NonCasual,Pre-Purchase,21.83837867,172.7
RPG 4,CAN,Digital,PC,2010,10,3,3,NonCasual,Pre-Purchase,21.83837867,288.2
RPG 4,CAN,Digital,PC,2010,10,5,3,NonCasual,Pre-Purchase,21.83837867,84.7
RPG 4,CAN,Digital,PC,2010,10,7,3,NonCasual,Pre-Purchase,21.83837867,46.2
RPG 4,CAN,Digital,PC,2010,10,8,3,NonCasual,Pre-Purchase,21.83837867,24.2
RPG 4,CAN,Digital,PC,2010,11,0,3,NonCasual,Pre-Purchase,21.83837867,0
RPG 4,CAN,Digital,PC,2010,11,1,3,NonCasual,Pre-Purchase,21.83837867,33
RPG 4,CAN,Digital,PC,2010,11,2,3,NonCasual,Pre-Purchase,21.83837867,2.2
RPG 4,CAN,Digital,PC,2010,11,3,3,NonCasual,Pre-Purchase,21.83837867,981.2
RPG 4,CAN,Digital,PC,2010,11,4,3,NonCasual,Pre-Purchase,21.83837867,1001
RPG 4,CAN,Digital,PC,2010,11,5,3,NonCasual,Pre-Purchase,21.83837867,1.1
RPG 4,CAN,Digital,PS,2010,10,0,3,NonCasual,Pre-Purchase,29.59297657,544.5
RPG 4,CAN,Digital,PS,2010,10,1,3,NonCasual,Pre-Purchase,29.59297657,212.3
RPG 4,CAN,Digital,PS,2010,10,5,3,NonCasual,Pre-Purchase,29.59297657,86.9
RPG 4,CAN,Digital,PS,2010,10,6,3,NonCasual,Pre-Purchase,29.59297657,58.3
RPG 4,CAN,Digital,PS,2010,10,7,3,NonCasual,Pre-Purchase,29.59297657,39.6
RPG 4,CAN,Digital,PS,2010,11,0,3,NonCasual,Pre-Purchase,29.59297657,3038.2
RPG 4,CAN,Digital,PS,2010,11,1,3,NonCasual,Pre-Purchase,29.59297657,72.6
RPG 4,CAN,Digital,PS,2010,11,2,3,NonCasual,Pre-Purchase,29.59297657,2039.4
RPG 4,CAN,Digital,PS,2010,11,3,3,NonCasual,Pre-Purchase,29.59297657,511.5
RPG 4,CAN,Digital,XBOX,2010,10,2,3,NonCasual,Pre-Purchase,35.44598386,211.2
RPG 4,CAN,Digital,XBOX,2010,10,4,3,NonCasual,Pre-Purchase,35.44598386,236.5
RPG 4,CAN,Digital,XBOX,2010,10,6,3,NonCasual,Pre-Purchase,35.44598386,66
RPG 4,CAN,Digital,XBOX,2010,10,8,3,NonCasual,Pre-Purchase,35.44598386,20.9
RPG 4,CAN,Digital,XBOX,2010,11,1,3,NonCasual,Pre-Purchase,35.44598386,2932.6
RPG 4,CAN,Digital,XBOX,2010,11,5,3,NonCasual,Pre-Purchase,35.44598386,704
RPG 4,CAN,Digital,XBOX,2010,11,6,3,NonCasual,Pre-Purchase,35.44598386,456.5
RPG 4,CAN,Digital,XBOX,2010,11,7,3,NonCasual,Pre-Purchase,35.44598386,151.8
